,PROD_CD,SLSMAN_CD,PLAN_MONTH,PLAN_YEAR,TARGET_IN_EA,ACH_IN_EA
11919,PROD_13,SLSMAN_93,12,2019,900,863
25997,PROD_80,SLSMAN_198,10,2019,696,"1,045"
18013,PROD_38,SLSMAN_134,11,2019,108,130
17609,PROD_23,SLSMAN_131,11,2019,108,94
26555,PROD_5,SLSMAN_208,10,2019,240,203
27775,PROD_5,SLSMAN_216,10,2019,160,117
26425,PROD_19,SLSMAN_206,12,2019,672,597
17742,PROD_15,SLSMAN_132,11,2019,"11,424","10,079"
16022,PROD_22,SLSMAN_121,10,2019,"19,600","4,129"
23231,PROD_80,SLSMAN_178,1,2020,600,0
28182,PROD_79,SLSMAN_221,11,2019,0,174
9902,PROD_15,SLSMAN_79,10,2019,"6,396","7,848"
8228,PROD_80,SLSMAN_58,1,2020,696,0
24735,PROD_25,SLSMAN_190,11,2019,612,619
15587,PROD_16,SLSMAN_117,1,2020,504,0
8877,PROD_56,SLSMAN_65,11,2019,0,72
10580,PROD_58,SLSMAN_83,10,2019,"21,168","14,519"
24323,PROD_22,SLSMAN_186,12,2019,"8,400","9,120"
16884,PROD_58,SLSMAN_126,11,2019,"10,416","12,468"
6353,PROD_36,SLSMAN_45,10,2019,24,7
5461,PROD_58,SLSMAN_39,12,2019,"4,368","5,571"
7741,PROD_59,SLSMAN_54,12,2019,462,231
26021,PROD_7,SLSMAN_199,11,2019,0,"3,407"
16223,PROD_39,SLSMAN_122,1,2020,324,0
2307,PROD_56,SLSMAN_15,10,2019,288,388
9096,PROD_15,SLSMAN_68,12,2019,"1,404","1,880"
6284,PROD_14,SLSMAN_45,1,2020,"11,520",0
12641,PROD_86,SLSMAN_97,12,2019,0,51
8279,PROD_3,SLSMAN_60,1,2020,120,0
24278,PROD_8,SLSMAN_186,11,2019,0,24
10102,PROD_36,SLSMAN_80,12,2019,24,20
170,PROD_13,SLSMAN_2,12,2019,"3,924","4,153"
2410,PROD_35,SLSMAN_16,11,2019,"2,400","4,097"
19554,PROD_3,SLSMAN_148,11,2019,120,0
14126,PROD_13,SLSMAN_107,11,2019,"2,520","2,342"
26455,PROD_33,SLSMAN_206,10,2019,252,0
11521,PROD_18,SLSMAN_90,11,2019,"7,044","1,489"
27097,PROD_23,SLSMAN_211,12,2019,252,200
15664,PROD_43,SLSMAN_117,12,2019,0,"12,999"
23506,PROD_25,SLSMAN_181,1,2020,288,0
6798,PROD_23,SLSMAN_48,10,2019,108,117
22063,PROD_39,SLSMAN_169,10,2019,360,399
908,PROD_81,SLSMAN_6,11,2019,120,48
19114,PROD_35,SLSMAN_143,11,2019,"6,240","5,388"
11619,PROD_85,SLSMAN_90,12,2019,0,101
26512,PROD_59,SLSMAN_206,11,2019,504,746
19474,PROD_47,SLSMAN_146,1,2020,936,0
18366,PROD_27,SLSMAN_138,10,2019,216,186
2750,PROD_38,SLSMAN_18,12,2019,144,81
5456,PROD_56,SLSMAN_39,11,2019,180,99
27089,PROD_20,SLSMAN_211,12,2019,48,24
23485,PROD_18,SLSMAN_181,12,2019,0,0
26443,PROD_27,SLSMAN_206,10,2019,144,151
5998,PROD_28,SLSMAN_43,12,2019,0,36
14739,PROD_5,SLSMAN_111,11,2019,240,107
7225,PROD_42,SLSMAN_51,12,2019,0,3
20278,PROD_11,SLSMAN_156,11,2019,108,122
24059,PROD_43,SLSMAN_184,12,2019,"9,648","9,422"
3970,PROD_36,SLSMAN_29,11,2019,24,15
8702,PROD_82,SLSMAN_63,11,2019,0,216
6641,PROD_25,SLSMAN_47,10,2019,648,690
27982,PROD_37,SLSMAN_217,11,2019,180,172
13159,PROD_18,SLSMAN_101,12,2019,0,0
18854,PROD_59,SLSMAN_141,11,2019,"2,520","2,922"
12730,PROD_38,SLSMAN_98,12,2019,144,103
26458,PROD_35,SLSMAN_206,1,2020,"13,344",0
10657,PROD_23,SLSMAN_84,12,2019,108,179
